attendance,away_score,away_team,date,home_score,home_team,referee,season,week
"26,743",3,Aston Villa,2024-10-19,1,Fulham,Match Report,2024-2025,8
"29,862",2,Everton,2024-10-19,0,Ipswich Town,Match Report,2024-2025,8
"31,145",3,Leicester City,2024-10-19,2,Southampton,Match Report,2024-2025,8
"73,738",1,Brentford,2024-10-19,2,Manchester Utd,Match Report,2024-2025,8
"52,220",1,Brighton,2024-10-19,0,Newcastle Utd,Match Report,2024-2025,8
"11,235",0,Arsenal,2024-10-19,2,Bournemouth,Match Report,2024-2025,8
"31,319",2,Manchester City,2024-10-20,1,Wolves,Match Report,2024-2025,8
"60,277",1,Chelsea,2024-10-20,2,Liverpool,Match Report,2024-2025,8
"29,443",0,Crystal Palace,2024-10-21,1,Nott'ham Forest,Match Report,2024-2025,8
"31,879",3,Nott'ham Forest,2024-10-25,1,Leicester City,Match Report,2024-2025,9
"31,840",2,Wolves,2024-10-26,2,Brighton,Match Report,2024-2025,9
"52,844",0,Southampton,2024-10-26,1,Manchester City,Match Report,2024-2025,9
"17,109",3,Ipswich Town,2024-10-26,4,Brentford,Match Report,2024-2025,9
"42,165",1,Bournemouth,2024-10-26,1,Aston Villa,Match Report,2024-2025,9
"38,742",1,Fulham,2024-10-26,1,Everton,Match Report,2024-2025,9
"62,474",1,Manchester Utd,2024-10-27,2,West Ham,Match Report,2024-2025,9
"39,526",1,Newcastle Utd,2024-10-27,2,Chelsea,Match Report,2024-2025,9
"25,108",0,Tottenham,2024-10-27,1,Crystal Palace,Match Report,2024-2025,9
"60,383",2,Liverpool,2024-10-27,2,Arsenal,Match Report,2024-2025,9
"52,249",0,Arsenal,2024-11-02,1,Newcastle Utd,Match Report,2024-2025,10
"60,331",1,Brighton,2024-11-02,2,Liverpool,Match Report,2024-2025,10
"31,143",0,Everton,2024-11-02,1,Southampton,Match Report,2024-2025,10
"30,112",0,West Ham,2024-11-02,3,Nott'ham Forest,Match Report,2024-2025,10
"29,874",1,Leicester City,2024-11-02,1,Ipswich Town,Match Report,2024-2025,10
"11,231",1,Manchester City,2024-11-02,2,Bournemouth,Match Report,2024-2025,10
"31,124",2,Crystal Palace,2024-11-02,2,Wolves,Match Report,2024-2025,10
"61,253",1,Aston Villa,2024-11-03,4,Tottenham,Match Report,2024-2025,10
"73,813",1,Chelsea,2024-11-03,1,Manchester Utd,Match Report,2024-2025,10
"24,931",1,Brentford,2024-11-04,2,Fulham,Match Report,2024-2025,10
"62,463",0,Everton,2024-11-09,0,West Ham,Match Report,2024-2025,11
"25,142",2,Fulham,2024-11-09,0,Crystal Palace,Match Report,2024-2025,11
"31,403",0,Southampton,2024-11-09,2,Wolves,Match Report,2024-2025,11
"16,587",2,Bournemouth,2024-11-09,3,Brentford,Match Report,2024-2025,11
"31,715",1,Manchester City,2024-11-09,2,Brighton,Match Report,2024-2025,11
"60,292",0,Aston Villa,2024-11-09,2,Liverpool,Match Report,2024-2025,11
"61,505",2,Ipswich Town,2024-11-10,1,Tottenham,Match Report,2024-2025,11
"30,145",3,Newcastle Utd,2024-11-10,1,Nott'ham Forest,Match Report,2024-2025,11
"73,829",0,Leicester City,2024-11-10,3,Manchester Utd,Match Report,2024-2025,11
"39,780",1,Arsenal,2024-11-10,1,Chelsea,Match Report,2024-2025,11
"31,880",2,Chelsea,2024-11-23,1,Leicester City,Match Report,2024-2025,12
"42,175",2,Crystal Palace,2024-11-23,2,Aston Villa,Match Report,2024-2025,12
"26,685",4,Wolves,2024-11-23,1,Fulham,Match Report,2024-2025,12
"11,196",2,Brighton,2024-11-23,1,Bournemouth,Match Report,2024-2025,12
"60,298",0,Nott'ham Forest,2024-11-23,3,Arsenal,Match Report,2024-2025,12
"38,915",0,Brentford,2024-11-23,0,Everton,Match Report,2024-2025,12
"52,478",4,Tottenham,2024-11-23,0,Manchester City,Match Report,2024-2025,12
"31,278",3,Liverpool,2024-11-24,2,Southampton,Match Report,2024-2025,12
"30,017",1,Manchester Utd,2024-11-24,1,Ipswich Town,Match Report,2024-2025,12
"52,094",2,West Ham,2024-11-25,0,Newcastle Utd,Match Report,2024-2025,12
"31,542",1,Southampton,2024-11-29,1,Brighton,Match Report,2024-2025,13
"26,685",4,Bournemouth,2024-11-30,2,Wolves,Match Report,2024-2025,13
"30,237",0,Ipswich Town,2024-11-30,1,Nott'ham Forest,Match Report,2024-2025,13
"17,084",1,Leicester City,2024-11-30,4,Brentford,Match Report,2024-2025,13
"25,101",1,Newcastle Utd,2024-11-30,1,Crystal Palace,Match Report,2024-2025,13
"62,475",5,Arsenal,2024-11-30,2,West Ham,Match Report,2024-2025,13
"73,817",0,Everton,2024-12-01,4,Manchester Utd,Match Report,2024-2025,13
"61,141",1,Fulham,2024-12-01,1,Tottenham,Match Report,2024-2025,13
"40,853",0,Aston Villa,2024-12-01,3,Chelsea,Match Report,2024-2025,13
"60,248",0,Manchester City,2024-12-01,2,Liverpool,Match Report,2024-2025,13
"29,533",1,Crystal Palace,2024-12-03,0,Ipswich Town,Match Report,2024-2025,14
"30,947",1,West Ham,2024-12-03,3,Leicester City,Match Report,2024-2025,14
"52,237",3,Liverpool,2024-12-04,3,Newcastle Utd,Match Report,2024-2025,14
"38,820",0,Wolves,2024-12-04,4,Everton,Match Report,2024-2025,14
"51,764",0,Nott'ham Forest,2024-12-04,3,Manchester City,Match Report,2024-2025,14
"31,193",5,Chelsea,2024-12-04,1,Southampton,Match Report,2024-2025,14
"60,256",0,Manchester Utd,2024-12-04,2,Arsenal,Match Report,2024-2025,14
"42,148",1,Brentford,2024-12-04,3,Aston Villa,Match Report,2024-2025,14
"26,368",1,Brighton,2024-12-05,3,Fulham,Match Report,2024-2025,14
"11,234",0,Tottenham,2024-12-05,1,Bournemouth,Match Report,2024-2025,14
"42,453",0,Southampton,2024-12-07,1,Aston Villa,Match Report,2024-2025,15
"25,142",2,Manchester City,2024-12-07,2,Crystal Palace,Match Report,2024-2025,15
"17,078",2,Newcastle Utd,2024-12-07,4,Brentford,Match Report,2024-2025,15
"73,778",3,Nott'ham Forest,2024-12-07,2,Manchester Utd,Match Report,2024-2025,15
"31,647",2,Brighton,2024-12-08,2,Leicester City,Match Report,2024-2025,15
"29,180",2,Bournemouth,2024-12-08,1,Ipswich Town,Match Report,2024-2025,15
"26,954",1,Arsenal,2024-12-08,1,Fulham,Match Report,2024-2025,15
"61,184",4,Chelsea,2024-12-08,3,Tottenham,Match Report,2024-2025,15
"62,474",1,Wolves,2024-12-09,2,West Ham,Match Report,2024-2025,15
"60,333",2,Fulham,2024-12-14,2,Liverpool,Match Report,2024-2025,16
"30,866",2,Ipswich Town,2024-12-14,1,Wolves,Match Report,2024-2025,16
"52,235",0,Leicester City,2024-12-14,4,Newcastle Utd,Match Report,2024-2025,16
"60,176",0,Everton,2024-12-14,0,Arsenal,Match Report,2024-2025,16
"30,117",1,Aston Villa,2024-12-14,2,Nott'ham Forest,Match Report,2024-2025,16
"30,893",3,Crystal Palace,2024-12-15,1,Brighton,Match Report,2024-2025,16
"53,184",2,Manchester Utd,2024-12-15,1,Manchester City,Match Report,2024-2025,16
"31,090",5,Tottenham,2024-12-15,0,Southampton,Match Report,2024-2025,16
"39,571",1,Brentford,2024-12-15,2,Chelsea,Match Report,2024-2025,16
"11,204",1,West Ham,2024-12-16,1,Bournemouth,Match Report,2024-2025,16
"42,345",1,Manchester City,2024-12-21,2,Aston Villa,Match Report,2024-2025,17
"29,774",4,Newcastle Utd,2024-12-21,0,Ipswich Town,Match Report,2024-2025,17
"17,115",2,Nott'ham Forest,2024-12-21,0,Brentford,Match Report,2024-2025,17
"62,460",1,Brighton,2024-12-21,1,West Ham,Match Report,2024-2025,17
"25,167",5,Arsenal,2024-12-21,1,Crystal Palace,Match Report,2024-2025,17
"73,720",3,Bournemouth,2024-12-22,0,Manchester Utd,Match Report,2024-2025,17
"31,818",3,Wolves,2024-12-22,0,Leicester City,Match Report,2024-2025,17
"39,358",0,Chelsea,2024-12-22,0,Everton,Match Report,2024-2025,17
"26,819",0,Southampton,2024-12-22,0,Fulham,Match Report,2024-2025,17
"61,439",6,Liverpool,2024-12-22,3,Tottenham,Match Report,2024-2025,17
"55,527",1,Everton,2024-12-26,1,Manchester City,Match Report,2024-2025,18
"31,059",1,West Ham,2024-12-26,0,Southampton,Match Report,2024-2025,18
"52,168",0,Aston Villa,2024-12-26,3,Newcastle Utd,Match Report,2024-2025,18
"30,200",0,Tottenham,2024-12-26,1,Nott'ham Forest,Match Report,2024-2025,18
"11,129",0,Crystal Palace,2024-12-26,0,Bournemouth,Match Report,2024-2025,18
"39,687",2,Fulham,2024-12-26,1,Chelsea,Match Report,2024-2025,18
"31,407",0,Manchester Utd,2024-12-26,2,Wolves,Match Report,2024-2025,18
"60,300",1,Leicester City,2024-12-26,3,Liverpool,Match Report,2024-2025,18
"31,548",0,Brentford,2024-12-27,0,Brighton,Match Report,2024-2025,18
"60,271",0,Ipswich Town,2024-12-27,1,Arsenal,Match Report,2024-2025,18
"32,057",2,Manchester City,2024-12-29,0,Leicester City,Match Report,2024-2025,19
"25,414",2,Nott'ham Forest,2024-12-29,0,Everton,Match Report,2024-2025,19
"61,284",2,Wolves,2024-12-29,2,Tottenham,Match Report,2024-2025,19
"27,301",2,Bournemouth,2024-12-29,2,Fulham,Match Report,2024-2025,19
"25,130",1,Southampton,2024-12-29,2,Crystal Palace,Match Report,2024-2025,19
"62,476",5,Liverpool,2024-12-29,0,West Ham,Match Report,2024-2025,19
"41,414",2,Brighton,2024-12-30,2,Aston Villa,Match Report,2024-2025,19
"29,968",0,Chelsea,2024-12-30,2,Ipswich Town,Match Report,2024-2025,19
"73,809",2,Newcastle Utd,2024-12-30,0,Manchester Utd,Match Report,2024-2025,19
"47,190",3,Arsenal,2025-01-01,1,Brentford,Match Report,2024-2025,19
"61,293",2,Newcastle Utd,2025-01-04,1,Tottenham,Match Report,2024-2025,20
"42,386",1,Leicester City,2025-01-04,2,Aston Villa,Match Report,2024-2025,20
"11,223",0,Everton,2025-01-04,1,Bournemouth,Match Report,2024-2025,20
"25,179",1,Chelsea,2025-01-04,1,Crystal Palace,Match Report,2024-2025,20
"31,001",5,Brentford,2025-01-04,0,Southampton,Match Report,2024-2025,20
"52,737",1,West Ham,2025-01-04,4,Manchester City,Match Report,2024-2025,20
"31,714",1,Arsenal,2025-01-04,1,Brighton,Match Report,2024-2025,20
"27,042",2,Ipswich Town,2025-01-05,2,Fulham,Match Report,2024-2025,20
"60,275",2,Manchester Utd,2025-01-05,2,Liverpool,Match Report,2024-2025,20
"29,940",3,Nott'ham Forest,2025-01-06,0,Wolves,Match Report,2024-2025,20
"62,456",2,Fulham,2025-01-14,3,West Ham,Match Report,2024-2025,21
"39,092",2,Bournemouth,2025-01-14,2,Chelsea,Match Report,2024-2025,21
"17,048",2,Manchester City,2025-01-14,2,Brentford,Match Report,2024-2025,21
"30,249",1,Liverpool,2025-01-14,1,Nott'ham Forest,Match Report,2024-2025,21
"29,766",2,Crystal Palace,2025-01-15,0,Leicester City,Match Report,2024-2025,21
"39,085",1,Aston Villa,2025-01-15,0,Everton,Match Report,2024-2025,21
"51,975",0,Wolves,2025-01-15,3,Newcastle Utd,Match Report,2024-2025,21
"60,287",1,Tottenham,2025-01-15,2,Arsenal,Match Report,2024-2025,21
"29,403",2,Brighton,2025-01-16,0,Ipswich Town,Match Report,2024-2025,21
"73,722",1,Southampton,2025-01-16,3,Manchester Utd,Match Report,2024-2025,21
"52,227",4,Bournemouth,2025-01-18,1,Newcastle Utd,Match Report,2024-2025,22
"31,500",2,Fulham,2025-01-18,0,Leicester City,Match Report,2024-2025,22
"62,469",2,Crystal Palace,2025-01-18,0,West Ham,Match Report,2024-2025,22
"17,215",2,Liverpool,2025-01-18,0,Brentford,Match Report,2024-2025,22
"60,067",2,Aston Villa,2025-01-18,2,Arsenal,Match Report,2024-2025,22
"39,326",2,Tottenham,2025-01-19,3,Everton,Match Report,2024-2025,22
"73,758",3,Brighton,2025-01-19,1,Manchester Utd,Match Report,2024-2025,22
"30,180",2,Southampton,2025-01-19,3,Nott'ham Forest,Match Report,2024-2025,22
"29,841",6,Manchester City,2025-01-19,0,Ipswich Town,Match Report,2024-2025,22
"39,221",1,Wolves,2025-01-20,3,Chelsea,Match Report,2024-2025,22
"31,141",3,Newcastle Utd,2025-01-25,1,Southampton,Match Report,2024-2025,23
"31,087",1,Everton,2025-01-25,0,Brighton,Match Report,2024-2025,23
"60,420",1,Ipswich Town,2025-01-25,4,Liverpool,Match Report,2024-2025,23
"11,228",0,Nott'ham Forest,2025-01-25,5,Bournemouth,Match Report,2024-2025,23
"31,503",1,Arsenal,2025-01-25,0,Wolves,Match Report,2024-2025,23
"52,687",1,Chelsea,2025-01-25,3,Manchester City,Match Report,2024-2025,23
"25,066",2,Brentford,2025-01-26,1,Crystal Palace,Match Report,2024-2025,23
"61,295",2,Leicester City,2025-01-26,1,Tottenham,Match Report,2024-2025,23
"41,628",1,West Ham,2025-01-26,1,Aston Villa,Match Report,2024-2025,23
"27,288",1,Manchester Utd,2025-01-26,0,Fulham,Match Report,2024-2025,23
"30,164",0,Brighton,2025-02-01,7,Nott'ham Forest,Match Report,2024-2025,24
"39,376",0,Leicester City,2025-02-01,4,Everton,Match Report,2024-2025,24
"52,173",2,Fulham,2025-02-01,1,Newcastle Utd,Match Report,2024-2025,24
"11,239",2,Liverpool,2025-02-01,0,Bournemouth,Match Report,2024-2025,24
"29,902",2,Southampton,2025-02-01,1,Ipswich Town,Match Report,2024-2025,24
"31,385",0,Aston Villa,2025-02-01,2,Wolves,Match Report,2024-2025,24
"73,751",2,Crystal Palace,2025-02-02,0,Manchester Utd,Match Report,2024-2025,24
"17,154",2,Tottenham,2025-02-02,0,Brentford,Match Report,2024-2025,24
"60,355",1,Manchester City,2025-02-02,5,Arsenal,Match Report,2024-2025,24
"39,459",1,West Ham,2025-02-03,2,Chelsea,Match Report,2024-2025,24
"39,280",2,Liverpool,2025-02-12,2,Everton,Match Report,2024-2025,15
"31,324",0,Chelsea,2025-02-14,3,Brighton,Match Report,2024-2025,25
"31,968",2,Arsenal,2025-02-15,0,Leicester City,Match Report,2024-2025,25
"27,164",1,Nott'ham Forest,2025-02-15,2,Fulham,Match Report,2024-2025,25
"52,479",0,Newcastle Utd,2025-02-15,4,Manchester City,Match Report,2024-2025,25
"31,037",3,Bournemouth,2025-02-15,1,Southampton,Match Report,2024-2025,25
"42,510",1,Ipswich Town,2025-02-15,1,Aston Villa,Match Report,2024-2025,25
"62,415",1,Brentford,2025-02-15,0,West Ham,Match Report,2024-2025,25
"25,108",2,Everton,2025-02-15,1,Crystal Palace,Match Report,2024-2025,25
"60,248",1,Wolves,2025-02-16,2,Liverpool,Match Report,2024-2025,25
"61,383",0,Manchester Utd,2025-02-16,1,Tottenham,Match Report,2024-2025,25
"41,910",2,Liverpool,2025-02-19,2,Aston Villa,Match Report,2024-2025,29
"31,077",4,Brentford,2025-02-21,0,Leicester City,Match Report,2024-2025,26
"39,290",2,Manchester Utd,2025-02-22,2,Everton,Match Report,2024-2025,26
"26,777",2,Crystal Palace,2025-02-22,0,Fulham,Match Report,2024-2025,26
"11,206",1,Wolves,2025-02-22,0,Bournemouth,Match Report,2024-2025,26
"30,003",4,Tottenham,2025-02-22,1,Ipswich Town,Match Report,2024-2025,26
"60,262",1,West Ham,2025-02-22,0,Arsenal,Match Report,2024-2025,26
"30,775",4,Brighton,2025-02-22,0,Southampton,Match Report,2024-2025,26
"42,423",1,Chelsea,2025-02-22,2,Aston Villa,Match Report,2024-2025,26
"52,223",3,Nott'ham Forest,2025-02-23,4,Newcastle Utd,Match Report,2024-2025,26
"52,803",2,Liverpool,2025-02-23,0,Manchester City,Match Report,2024-2025,26
"31,138",1,Bournemouth,2025-02-25,2,Brighton,Match Report,2024-2025,27
"24,712",1,Aston Villa,2025-02-25,4,Crystal Palace,Match Report,2024-2025,27
"28,708",2,Fulham,2025-02-25,1,Wolves,Match Report,2024-2025,27
"39,485",0,Southampton,2025-02-25,4,Chelsea,Match Report,2024-2025,27
"60,820",1,Manchester City,2025-02-26,0,Tottenham,Match Report,2024-2025,27
"30,200",0,Arsenal,2025-02-26,0,Nott'ham Forest,Match Report,2024-2025,27
"73,827",2,Ipswich Town,2025-02-26,3,Manchester Utd,Match Report,2024-2025,27
"17,082",1,Everton,2025-02-26,1,Brentford,Match Report,2024-2025,27
"60,374",0,Newcastle Utd,2025-02-26,2,Liverpool,Match Report,2024-2025,27
"62,455",0,Leicester City,2025-02-27,2,West Ham,Match Report,2024-2025,27
"30,252",0,Manchester City,2025-03-08,1,Nott'ham Forest,Match Report,2024-2025,28
"60,399",1,Southampton,2025-03-08,3,Liverpool,Match Report,2024-2025,28
"31,584",1,Fulham,2025-03-08,2,Brighton,Match Report,2024-2025,28
"25,155",0,Ipswich Town,2025-03-08,1,Crystal Palace,Match Report,2024-2025,28
"17,171",1,Aston Villa,2025-03-08,0,Brentford,Match Report,2024-2025,28
"30,738",1,Everton,2025-03-08,1,Wolves,Match Report,2024-2025,28
"39,750",0,Leicester City,2025-03-09,1,Chelsea,Match Report,2024-2025,28
"61,178",2,Bournemouth,2025-03-09,2,Tottenham,Match Report,2024-2025,28
"73,812",1,Arsenal,2025-03-09,1,Manchester Utd,Match Report,2024-2025,28
"62,463",1,Newcastle Utd,2025-03-10,0,West Ham,Match Report,2024-2025,28
"39,343",1,West Ham,2025-03-15,1,Everton,Match Report,2024-2025,29
"30,950",2,Wolves,2025-03-15,1,Southampton,Match Report,2024-2025,29
"29,878",4,Nott'ham Forest,2025-03-15,2,Ipswich Town,Match Report,2024-2025,29
"52,471",2,Brighton,2025-03-15,2,Manchester City,Match Report,2024-2025,29
"11,180",2,Brentford,2025-03-15,1,Bournemouth,Match Report,2024-2025,29
"60,311",0,Chelsea,2025-03-16,1,Arsenal,Match Report,2024-2025,29
"27,182",0,Tottenham,2025-03-16,2,Fulham,Match Report,2024-2025,29
"31,773",3,Manchester Utd,2025-03-16,0,Leicester City,Match Report,2024-2025,29
"60,256",1,Fulham,2025-04-01,2,Arsenal,Match Report,2024-2025,30
"29,587",0,West Ham,2025-04-01,1,Wolves,Match Report,2024-2025,30
"30,249",0,Manchester Utd,2025-04-01,1,Nott'ham Forest,Match Report,2024-2025,30
"52,021",1,Brentford,2025-04-02,2,Newcastle Utd,Match Report,2024-2025,30
"52,148",0,Leicester City,2025-04-02,2,Manchester City,Match Report,2024-2025,30
"30,158",1,Crystal Palace,2025-04-02,1,Southampton,Match Report,2024-2025,30
"11,192",2,Ipswich Town,2025-04-02,1,Bournemouth,Match Report,2024-2025,30
"27,895",3,Aston Villa,2025-04-02,0,Brighton,Match Report,2024-2025,30
"60,457",0,Everton,2025-04-02,1,Liverpool,Match Report,2024-2025,30
"39,852",0,Tottenham,2025-04-03,1,Chelsea,Match Report,2024-2025,30
"39,316",1,Arsenal,2025-04-05,1,Everton,Match Report,2024-2025,31
"24,564",1,Brighton,2025-04-05,2,Crystal Palace,Match Report,2024-2025,31
"29,549",2,Wolves,2025-04-05,1,Ipswich Town,Match Report,2024-2025,31
"62,459",2,Bournemouth,2025-04-05,2,West Ham,Match Report,2024-2025,31
"42,743",1,Nott'ham Forest,2025-04-05,2,Aston Villa,Match Report,2024-2025,31
"27,770",2,Liverpool,2025-04-06,3,Fulham,Match Report,2024-2025,31
"17,183",0,Chelsea,2025-04-06,0,Brentford,Match Report,2024-2025,31
"60,984",1,Southampton,2025-04-06,3,Tottenham,Match Report,2024-2025,31
"73,738",0,Manchester City,2025-04-06,0,Manchester Utd,Match Report,2024-2025,31
"30,403",3,Newcastle Utd,2025-04-07,0,Leicester City,Match Report,2024-2025,31
"52,489",2,Crystal Palace,2025-04-12,5,Manchester City,Match Report,2024-2025,32
"31,150",2,Leicester City,2025-04-12,2,Brighton,Match Report,2024-2025,32
"30,199",3,Aston Villa,2025-04-12,0,Southampton,Match Report,2024-2025,32
"30,199",1,Everton,2025-04-12,0,Nott'ham Forest,Match Report,2024-2025,32
"60,184",1,Brentford,2025-04-12,1,Arsenal,Match Report,2024-2025,32
"60,376",1,West Ham,2025-04-13,2,Liverpool,Match Report,2024-2025,32
"39,805",2,Ipswich Town,2025-04-13,2,Chelsea,Match Report,2024-2025,32
"31,463",2,Tottenham,2025-04-13,4,Wolves,Match Report,2024-2025,32
"52,252",1,Manchester Utd,2025-04-13,4,Newcastle Utd,Match Report,2024-2025,32
"11,195",0,Fulham,2025-04-14,1,Bournemouth,Match Report,2024-2025,32
"52,197",0,Crystal Palace,2025-04-16,5,Newcastle Utd,Match Report,2024-2025,29
"39,332",2,Manchester City,2025-04-19,0,Everton,Match Report,2024-2025,33
"62,461",1,Southampton,2025-04-19,1,West Ham,Match Report,2024-2025,33
"25,185",0,Bournemouth,2025-04-19,0,Crystal Palace,Match Report,2024-2025,33
"17,083",2,Brighton,2025-04-19,4,Brentford,Match Report,2024-2025,33
"42,618",1,Newcastle Utd,2025-04-19,4,Aston Villa,Match Report,2024-2025,33
"27,712",2,Chelsea,2025-04-20,1,Fulham,Match Report,2024-2025,33
"29,549",4,Arsenal,2025-04-20,0,Ipswich Town,Match Report,2024-2025,33
"73,819",1,Wolves,2025-04-20,0,Manchester Utd,Match Report,2024-2025,33
"30,402",1,Liverpool,2025-04-20,0,Leicester City,Match Report,2024-2025,33
"59,314",2,Nott'ham Forest,2025-04-21,1,Tottenham,Match Report,2024-2025,33
"51,834",1,Aston Villa,2025-04-22,2,Manchester City,Match Report,2024-2025,34
"60,167",2,Crystal Palace,2025-04-23,2,Arsenal,Match Report,2024-2025,34
"39,894",0,Everton,2025-04-26,1,Chelsea,Match Report,2024-2025,34
"31,499",2,West Ham,2025-04-26,3,Brighton,Match Report,2024-2025,34
