attendance,away_score,away_team,date,home_score,home_team,referee,season,week
"73,297",0,Fulham,2024-08-16,1,Manchester Utd,Match Report,2024-2025,1
"30,014",2,Liverpool,2024-08-17,0,Ipswich Town,Match Report,2024-2025,1
"52,196",0,Southampton,2024-08-17,1,Newcastle Utd,Match Report,2024-2025,1
"39,217",3,Brighton,2024-08-17,0,Everton,Match Report,2024-2025,1
"29,763",1,Bournemouth,2024-08-17,1,Nott'ham Forest,Match Report,2024-2025,1
"60,261",0,Wolves,2024-08-17,2,Arsenal,Match Report,2024-2025,1
"62,463",2,Aston Villa,2024-08-17,1,West Ham,Match Report,2024-2025,1
"16,988",1,Crystal Palace,2024-08-18,2,Brentford,Match Report,2024-2025,1
"39,818",2,Manchester City,2024-08-18,0,Chelsea,Match Report,2024-2025,1
"31,977",1,Tottenham,2024-08-19,1,Leicester City,Match Report,2024-2025,1
"31,537",1,Manchester Utd,2024-08-24,2,Brighton,Match Report,2024-2025,2
"53,147",1,Ipswich Town,2024-08-24,4,Manchester City,Match Report,2024-2025,2
"31,150",1,Nott'ham Forest,2024-08-24,0,Southampton,Match Report,2024-2025,2
"61,357",0,Everton,2024-08-24,4,Tottenham,Match Report,2024-2025,2
"25,401",1,Leicester City,2024-08-24,2,Fulham,Match Report,2024-2025,2
"25,099",2,West Ham,2024-08-24,0,Crystal Palace,Match Report,2024-2025,2
"41,587",2,Arsenal,2024-08-24,0,Aston Villa,Match Report,2024-2025,2
"31,235",6,Chelsea,2024-08-25,2,Wolves,Match Report,2024-2025,2
"11,161",1,Newcastle Utd,2024-08-25,1,Bournemouth,Match Report,2024-2025,2
"60,017",0,Brentford,2024-08-25,2,Liverpool,Match Report,2024-2025,2
"60,326",1,Brighton,2024-08-31,1,Arsenal,Match Report,2024-2025,3
"29,517",1,Fulham,2024-08-31,1,Ipswich Town,Match Report,2024-2025,3
"29,918",1,Wolves,2024-08-31,1,Nott'ham Forest,Match Report,2024-2025,3
"16,955",1,Southampton,2024-08-31,3,Brentford,Match Report,2024-2025,3
"31,725",2,Aston Villa,2024-08-31,1,Leicester City,Match Report,2024-2025,3
"38,805",3,Bournemouth,2024-08-31,2,Everton,Match Report,2024-2025,3
"62,469",3,Manchester City,2024-08-31,1,West Ham,Match Report,2024-2025,3
"52,211",1,Tottenham,2024-09-01,2,Newcastle Utd,Match Report,2024-2025,3
"39,298",1,Crystal Palace,2024-09-01,1,Chelsea,Match Report,2024-2025,3
"73,738",3,Liverpool,2024-09-01,0,Manchester Utd,Match Report,2024-2025,3
"31,144",3,Manchester Utd,2024-09-14,0,Southampton,Match Report,2024-2025,4
"52,148",1,Brentford,2024-09-14,2,Manchester City,Match Report,2024-2025,4
"60,344",1,Nott'ham Forest,2024-09-14,0,Liverpool,Match Report,2024-2025,4
"25,147",2,Leicester City,2024-09-14,2,Crystal Palace,Match Report,2024-2025,4
"26,528",1,West Ham,2024-09-14,1,Fulham,Match Report,2024-2025,4
"41,573",0,Ipswich Town,2024-09-14,0,Brighton,Match Report,2024-2025,4
"41,573",2,Everton,2024-09-14,3,Aston Villa,Match Report,2024-2025,4
"11,235",1,Chelsea,2024-09-14,0,Bournemouth,Match Report,2024-2025,4
"61,645",1,Arsenal,2024-09-15,0,Tottenham,Match Report,2024-2025,4
"30,255",2,Newcastle Utd,2024-09-15,1,Wolves,Match Report,2024-2025,4
"62,473",3,Chelsea,2024-09-21,0,West Ham,Match Report,2024-2025,5
"61,246",1,Brentford,2024-09-21,3,Tottenham,Match Report,2024-2025,5
"39,978",1,Wolves,2024-09-21,3,Aston Villa,Match Report,2024-2025,5
"25,700",1,Newcastle Utd,2024-09-21,3,Fulham,Match Report,2024-2025,5
"31,117",1,Ipswich Town,2024-09-21,1,Southampton,Match Report,2024-2025,5
"31,765",1,Everton,2024-09-21,1,Leicester City,Match Report,2024-2025,5
"60,347",0,Bournemouth,2024-09-21,3,Liverpool,Match Report,2024-2025,5
"25,172",0,Manchester Utd,2024-09-21,0,Crystal Palace,Match Report,2024-2025,5
"31,444",2,Nott'ham Forest,2024-09-22,2,Brighton,Match Report,2024-2025,5
"52,846",2,Arsenal,2024-09-22,2,Manchester City,Match Report,2024-2025,5
"52,248",1,Manchester City,2024-09-28,1,Newcastle Utd,Match Report,2024-2025,6
"17,050",1,West Ham,2024-09-28,1,Brentford,Match Report,2024-2025,6
"38,954",1,Crystal Palace,2024-09-28,2,Everton,Match Report,2024-2025,6
"60,323",2,Leicester City,2024-09-28,4,Arsenal,Match Report,2024-2025,6
"39,495",2,Brighton,2024-09-28,4,Chelsea,Match Report,2024-2025,6
"30,139",1,Fulham,2024-09-28,0,Nott'ham Forest,Match Report,2024-2025,6
"31,413",2,Liverpool,2024-09-28,1,Wolves,Match Report,2024-2025,6
"29,943",2,Aston Villa,2024-09-29,2,Ipswich Town,Match Report,2024-2025,6
"73,587",3,Tottenham,2024-09-29,0,Manchester Utd,Match Report,2024-2025,6
"11,243",1,Southampton,2024-09-30,3,Bournemouth,Match Report,2024-2025,6
"25,185",1,Liverpool,2024-10-05,0,Crystal Palace,Match Report,2024-2025,7
"16,960",3,Wolves,2024-10-05,5,Brentford,Match Report,2024-2025,7
"31,706",0,Bournemouth,2024-10-05,1,Leicester City,Match Report,2024-2025,7
"53,017",2,Fulham,2024-10-05,3,Manchester City,Match Report,2024-2025,7
"62,467",1,Ipswich Town,2024-10-05,4,West Ham,Match Report,2024-2025,7
"60,307",1,Southampton,2024-10-05,3,Arsenal,Match Report,2024-2025,7
"39,265",0,Newcastle Utd,2024-10-05,0,Everton,Match Report,2024-2025,7
"42,682",0,Manchester Utd,2024-10-06,0,Aston Villa,Match Report,2024-2025,7
"39,501",1,Nott'ham Forest,2024-10-06,1,Chelsea,Match Report,2024-2025,7
"31,487",2,Tottenham,2024-10-06,3,Brighton,Match Report,2024-2025,7
"61,381",1,West Ham,2024-10-19,4,Tottenham,Match Report,2024-2025,8
